"Transect","Site","Latitude","Longitude","Elevation","pH","Conductivity","Moisture","Temperature","Mean Diurnal Range","Isothermality","Temperature Seasonality","Temperature Annual Range","Annual Precipitation","Precipitation of Wettest Month","Precipitation of Driest Month","Precipitation Seasonality","Precipitation of Warmest Quarter","Precipitation of Coldest Quarter","Sigma Maturity Index","Channel Index","Composite footprint","Enrichment footprint","Herbivores, % of total","Fungivores, % of total","Bacterivores, % of total","Predators, % of total","Omnivores, % of total","Sedentary parasites, % of herbivores","Migratory endoparasites, % of herbivores","Semi-endoparasites, % of herbivores","Ectoparasites, % of herbivores","Epidermal/root hair feeders, % of herbivores","Algal/lichen/moss feeders, % of herbivores","CP 1, % of free-living","CP 2, % of free-living","CP 3, % of free-living","CP 4, % of free-living","CP 5, % of free-living","PP 2, % of herbivores","PP 3, % of herbivores","PP 4, % of herbivores","PP 5, % of herbivores"
"Darhal","D2",33.43499444,74.34211667,1245,6.7,6,18.3,16.9,111,355,6822,314,1227,310,13,90,649,219,2.19,0,136.77,34.43,0,0,69.2,24.1,6.7,"NaN","NaN","NaN","NaN","NaN","NaN",48.7,20.5,0,24.6,6.2,"NaN","NaN","NaN","NaN"
"Darhal","D3",33.46250556,74.35931389,1563,6.61,5,20,15,111,356,6862,313,1335,325,14,87,707,234,1.62,1.71,56.85,27.16,0,3.6,89.7,0,6.7,"NaN","NaN","NaN","NaN","NaN","NaN",51.6,41.7,0,6.7,0,"NaN","NaN","NaN","NaN"
"Darhal","D4",33.48138889,74.38290556,1740,6.7,4,24.8,15.7,111,356,6883,312,1346,329,14,88,726,232,2.03,0,126.05,100.55,0,0,72.3,2.9,24.8,"NaN","NaN","NaN","NaN","NaN","NaN",52.6,19.7,0,27.7,0,"NaN","NaN","NaN","NaN"
"Darhal","D5",33.49888611,74.39715,2067,6.2,4,25.1,13.1,111,357,6925,311,1428,337,15,85,752,252,2.24,1.83,232.5,156.64,12.2,4.4,63.7,0,19.7,"0","0","53.2","46.8","0","0",39.5,29.2,3.2,28,0,"46.8","53.2","0","0"
"Darhal","D6",33.51883611,74.43513889,2522,6.21,3,27,11,111,358,6987,310,1416,344,16,87,1018,245,2.44,2.22,312.44,177.26,18,2.4,56,0,23.6,"0","22","50.5","27.5","0","0",23.9,43.2,4.1,28.7,0,"27.5","72.5","0","0"
"Darhal","D7",33.52808056,74.45510833,2854,6.28,3,27,9.8,111,358,7041,309,1435,333,16,84,996,238,2.88,0,384.88,99.92,22,1.4,43.1,8.4,25.1,"0","14.9","44.3","40.700000000000003","0","0",12.5,28,12.9,44.7,1.9,"40.700000000000003","59.3","0","0"
"Darhal","D8",33.51178611,74.48628611,3109,6.31,3,29.2,7.2,111,359,7078,309,1365,327,15,84,962,230,2.93,6.19,308.04,14.13,28.6,2.9,37.3,6.6,24.5,"0","16.5","46.5","37","0","0",8.7,29.2,10.4,51.7,0,"37","63","0","0"
"Darhal","D9",33.50298611,74.49530278,3410,6.06,1,30,6,111,359,7132,309,1373,324,15,84,957,228,3.27,10.4,375.95,8.34,34,4.6,18.3,0,43.1,"0","16.899999999999999","44.6","38.6","0","0",5.4,9.6,5.8,79.2,0,"34.5","65.5","0","0"
"Darhal","D10",33.49418889,74.511625,3637,6.2,0.5,31.2,5.1,111,360,7172,309,1371,315,15,82,938,233,3.29,0,311.62,3.25,44.5,4.3,4.7,0,46.4,"0","15.4","42.3","42.3","0","0",3.2,2.4,2.9,91.5,0,"37.799999999999997","62.2","0","0"
"Thanamandi","TM1",33.4195,74.31674444,1030,5.71,7,16.5,16.2,112,354,6800,315,1092,266,12,86,566,206,1.15,0,92.44,90.57,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",85.1,14.9,0,0,0,"NaN","NaN","NaN","NaN"
"Thanamandi","TM2",33.49848889,74.35256944,1296,5.7,6,19.3,15.9,111,355,6827,313,1072,253,13,80,523,209,1.12,0,208.83,207.37,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",88.2,11.8,0,0,0,"NaN","NaN","NaN","NaN"
"Thanamandi","TM3",33.54326111,74.37642222,1710,6.51,4,20.1,15,111,356,6876,311,1184,284,14,82,587,225,1.12,0,253.73,252.18,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",87.5,12.5,0,0,0,"NaN","NaN","NaN","NaN"
"Thanamandi","TM4",33.55074167,74.40098333,2094,6.2,4,23.8,14,111,357,6936,310,1320,315,16,83,678,238,1.79,1.97,218.57,176.94,0,8.6,78.8,0,12.6,"NaN","NaN","NaN","NaN","NaN","NaN",50.5,32.4,4.5,12.6,0,"NaN","NaN","NaN","NaN"
"Thanamandi","TM5",33.55978333,74.40981111,2405,6.28,4,26.1,12.1,111,357,6979,310,1431,325,18,79,961,253,2.57,0,69.3,2.49,0,7,64.2,0,28.9,"NaN","NaN","NaN","NaN","NaN","NaN",8,56.1,7,28.9,0,"NaN","NaN","NaN","NaN"
"Thanamandi","TM6",33.56711667,74.40597222,2597,6.7,2,28,10,111,357,7011,310,1470,320,20,74,946,272,2.51,0,174.02,70.93,2.9,6.4,63.2,2.6,24.9,"0","0","0","100","0","0",27.7,30.7,8.7,30.1,2.7,"0","100","0","0"
"Thanamandi","TM7",33.56357222,74.4216,2710,6.07,2,28.5,9.7,111,358,7025,310,1475,328,18,77,970,259,2.88,2.62,218.84,43.84,0.7,5.5,55.6,12.4,25.9,"0","0","0","100","0","0",15,32.5,3.7,47.5,1.4,"0","100","0","0"
"Thanamandi","TM8",33.55550556,74.44253611,2987,6.41,1,29.7,8.2,111,358,7071,309,1435,310,17,74,914,243,3.15,15,237.15,35.01,10.2,7.8,41.5,0,40.5,"14.3","26.2","14.3","45.2","0","0",4.6,32.7,5.4,57.3,0,"16.7","69","0","14.3"
"Thanamandi","TM9",33.54168889,74.44935833,3285,6.36,1,32,5,111,358,7123,309,1477,319,17,75,951,248,3.42,10.49,289.34,7.74,13,7.6,21.2,0,58.3,"7.7","13.8","21.5","56.9","0","0",7.3,10.6,8,74.1,0,"20","72.3","0","7.7"
"Thanamandi","TM10",33.56174444,74.48722778,3695,5.9,0.5,32.9,4.1,111,359,7192,308,1366,286,17,72,850,240,3.62,0,376.2,6.01,13.1,0,10.2,0,76.6,"0","0","38.200000000000003","61.8","0","0",5.3,1.1,5.3,88.2,0,"35.299999999999997","64.7","0","0"
